real_data_trial,sim_data_trial,real_data_sub,sim_data_sub
1,0.66667,1.314685315,1.2778
0.714285714,0.49123,2.744525547,2.25
0.98245614,1.1228,1.734265734,1.6389
4.37037037,4.0702,1.986111111,2
0.592592593,0.49123,2.180555556,2.2361
1.607142857,1.4737,3,3
2.428571429,2.1754,2.942028986,2.9583
4.259259259,4.1754,2.979020979,3.0139
1.535714286,1.1579,1.861111111,1.75
2.75,2.9474,1.253521127,1.4583
3.857142857,3.9649,0.937062937,0.72222
1.684210526,2.1404,2.517482517,2.5
0.877192982,0.52632,0.984615385,0.86111
4.75,4.7719,1.388888889,1.875
2.714285714,2.6316,0.861111111,0.41667
1.321428571,1.1228,2.211267606,2.2361
2.428571429,2.1754,2.097902098,2.1389
1.50877193,1.7544,3.016949153,2.9444
0.631578947,0.2807,1.194244604,0.81944
1.892857143,1.2982,1.404255319,1.1389
3.122807018,3.4737,1.513888889,1.0972
3.789473684,4.2456,1.791666667,1.625
2.5,2.4912,1.513888889,1.0833
1.814814815,1.7544,1.122302158,1.3611
3.052631579,3.0877,2.691729323,2.8611
0.877192982,0.73684,2.046153846,2
2.581818182,2.6316,1.020979021,1.0139
1.754385965,1.5789,2.555555556,2.8194
2.109090909,1.614,0.938461538,0.875
1.052631579,1.193,1.597122302,1.5
2.350877193,2.2807,0.486111111,0.26389
3.678571429,3.9298,2.777777778,2.8194
1.678571429,1.614,3.338028169,3.2778
2.75,2.6667,1.371428571,1.1667
1.054545455,1.0175,0.958333333,0.84722
2.909090909,2.807,2.382352941,2.4028
1.824561404,1.8947,2.48951049,2.4583
1.678571429,1.5088,2.863309353,2.9167
1.403508772,1.3333,2.932330827,3.1528
0.821428571,0.63158,0.965034965,0.875
0.178571429,0.2807,1.468531469,1.4167
2.175438596,1.9649,2.138888889,2.0833
0.145454545,0.24561,2.041958042,2.0417
2.892857143,2.807,1.628571429,1.5833
3.789473684,3.9649,1.704225352,1.5139
0.185185185,0.2807,2.559440559,2.6667
1.052631579,0.87719,2.41958042,2.0278
2.145454545,2.2456,2.251748252,2.3194
4.214285714,4.2456,2.183098592,2.3333
0.947368421,1.193,1.666666667,2.4444
0.142857143,0.14035,1.309352518,1.5139
0.821428571,1.1228,2.138888889,2.25
0.245614035,0.21053,3.525179856,2.8056
2.321428571,2.4561,1.155555556,1.1944
4,3.9649,1.458333333,1.4444
0.357142857,0.070175,1.394366197,1.5278
2.947368421,2.6316,2.811188811,2.875
2.245614035,2.5965,,
0.315789474,0.24561,,
2.509090909,2.6667,,
2.947368421,2.8421,,
1.859649123,1.9649,,
0.472727273,0.38596,,
2.642857143,2.5614,,
1,0.49123,,
1.888888889,1.8596,,
1.684210526,1.7895,,
0.877192982,0.24561,,
3.543859649,3.2632,,
0.526315789,0.24561,,
2.571428571,3.0175,,
0.964285714,0.77193,,
1.50877193,1.3333,,
0.701754386,0.73684,,
0.736842105,0.84211,,
4.285714286,4.2105,,
0.526315789,0.42105,,
1.192982456,1.3333,,
1.684210526,1.4737,,
4.25,4.4211,,
1.368421053,1.0175,,
2.912280702,3.0175,,
3.928571429,3.7895,,
1.678571429,1.9649,,
0.464285714,0.31579,,
4.964285714,4.9123,,
2.25,2.0351,,
1.357142857,1.0877,,
2.701754386,2.7018,,
1.563636364,1.5439,,
0.315789474,0.14035,,
2.035714286,2.4561,,
3.122807018,2.7018,,
4.321428571,4.5263,,
2.75,2.8421,,
1.678571429,1.7895,,
3.157894737,3.4035,,
0.736842105,0.77193,,
2.836363636,2.8421,,
2.178571429,2.5965,,
1.392857143,1.4737,,
0.888888889,0.87719,,
1.740740741,1.614,,
3.471698113,3.6842,,
1.433962264,1.5789,,
2.518518519,2.6667,,
1.222222222,1.0877,,
3.111111111,3.3684,,
1.407407407,1.2281,,
1.785714286,1.9298,,
0.928571429,0.77193,,
0.592592593,0.63158,,
0.285714286,0.17544,,
2.842105263,2.5263,,
0.333333333,0.31579,,
3.309090909,3.193,,
3.730769231,3.7193,,
0.555555556,0.2807,,
1.285714286,1.0526,,
2.140350877,2.2807,,
4,4.1404,,
0.771929825,0.77193,,
0.107142857,0.070175,,
1.098039216,1.1228,,
0.4,0.2807,,
1.849056604,1.5088,,
4.25,4.2807,,
0.472727273,0.45614,,
3.192982456,3.5439,,
2.107142857,2.3158,,
0.452830189,0.31579,,
2.181818182,2,,
3.142857143,3.4035,,
1.423076923,1.3684,,
0.357142857,0.2807,,
2.327272727,2.5263,,
1.107142857,0.73684,,
1.961538462,2.1404,,
1.672727273,1.8246,,
0.836363636,0.17544,,
3.490909091,3.4737,,
0.763636364,0.49123,,
2.690909091,2.7018,,
0.836363636,0.87719,,
